index,movie_id,track_list
0,tt0114709,You've Got a Friend in Me@ Strange Things@ I Will Go Sailing No More@ Pop Goes the Weasel@ Hakuna Matata@ You've Got a Friend in Me
1,tt0113497,"Una voce poco fa@ Locomotive Breath@ Night and Day@ Serenade in D, Op.44@ The Ballad of Gilligan's Isle@ Hark! the Herald Angels Sing@ We Wish You a Merry Christmas@ Himno Nacional Mexicano"
2,tt0113228,(I'll Be Glad When You're Dead) You Rascal You@ Dream A Little Dream Of Me@ Hit The Road Jack@ Volare@ Innamorata@ That's Amore@ Venus@ Jump In The Line (Shake Señora)@ 'Maria' From 'West Side Story'@ Stayin' Alive@ Liar's Polka@ The Chicken Dance@ 'S Wonderful@ Almost Like Being In Love@ Get Me To The Church On Time@ I Hear Bells (Wedding Bells)@ O Sole Mio@ Ring Of Fire@ Understand Your Man
3,tt0114885,"Exhale (Shoop Shoop)@ Why Does It Hurt So Bad?@ Count On Me@ Wey U@ All Night Long@ Love Will Be Waiting At Home@ Sittin' Up In My Room@ And I Gave My Love To You@ My Love, Sweet Love@ Not Gon' Cry@ My Funny Valentine@ How Could You Call Her Baby?@ Let It Flow@ Kissing You@ It Hurts Like Hell@ This Is How It Works@ Somewhere There Is a Love@ I'm Gonna Make You My Wife@ Try Matty's@ Head@ That Shit Turns Me On@ Love Theme from 'Romeo and Juliet'@ Happy Birthday To You@ Lovin' You@ Creep@ It Might Be You"
4,tt0113041,Give Me the Simple Life@ When the Saints Go Marching In@ At Last@ Remembering Annie@ On the Sunny Side of the Street@ Pretty Baby
5,tt0113277,Always Forever Now@ Late Evening In Jersey@ Last Nite@ Force Marker@ Mystery Man@ New Dawn Fades@ God Moving Over The Face Of The Waters@ The Monkey King@ The Last Lagoon@ Gringatcho Demento@ The Mighty Limpopo@ Ultramarine@ Arabic Agony@ La Bas@ Celon@ Gloradin@ In November@ Black Cloud@ Armenia@ The Thrill Is Gone@ Will Gaines@ By The Time I Get To Phoenix@ Top O' The Morning To Ya@ Concerto For Violoncello And Orchestra@ Get Up To This@ Steel Cello Lament@ Lola
6,tt0114319,"Moonlight@ Call Me Irresponsible@ How Can I Remember?@ Stella By Starlight@ Protection@ Love's In Need Of Love Today@ L'Amour est une Étoile@ Les Petites Notes@ Closer, Together, Now@ Rapsodie on a Theme of Paganini, 18th Variation@ Dédicace@ La Vie en Rose@ I Wish I Were In Love Again@ Love Letters@ Moonlight Becomes You@ My Old Flame@ High Hopes@ The Shadow of Your Smile@ For All We Know@ I Remember You@ Maude's Fanfare@ Happy Birthday to You@ Bei Mir Bist Du Schon (Means That You're Grand)@ When Joanna Loved Me@ Ruf A Dabel Le'Yan@ Moonlight"
7,tt0112302,Buffalo Gals@ Ring Around the Rosie
8,tt0114576,"Rock And Roll, Part II@ ESPN National Hockey League Theme@ Arena Themes"
9,tt0113189,Goldeneye@ The Experience of Love@ Stand By Your Man@ James Bond Theme@ Preobrajensky March
10,tt0112346,"Brandenburg Concerto No. 5, BWV 1050, 1st Movement: Allegro@ Ballet Music from Faust@ I Have Dreamed@ It's Beginning to Look Like Christmas@ God Rest Ye Merry, Gentlemen@ Viens, Mallika@ Deck the Halls@ Hail to the Chief"
11,tt0112896,Hungarian Dance No. 5@ Roses From the South@ The Kaminsky Two-Step
12,tt0112453,Reach for the Light
13,tt0113987,"Menuetto@ Hackney Carriage@ Largo@ Stein Song@ Happy Days Are Here Again@ (Love is) The Tender Trap@ I Can't Give You Anything But Love@ Camelot@ Mazurka in D Major, Op. 33, No. 2@ Waltz in B Minor, Op. 69, No. 2@ Life's the Darndest Thing@ Last Round@ My Baby Said She'd Marry Me@ I Like to Pet@ A Mil@ Fever@ 'Guadalcanal March' and 'Mare Nostrum'@ Gloria@ Battle Hymn of the Republic@ Shenandoah"
14,tt0112760,
15,tt0112641,"Matthäuspassion BMV@ Zooma Zooma@ Moonglow@ You're Nobody 'Til Somebody Loves You@ Sing, Sing, Sing (With a Swing)@ 7-11 (aka Mambo #5)@ Hoochie Coochie Man@ Fa-Fa-Fa-Fa-Fa (Sad Song)@ Long Long While@ (I Can't Get No) Satisfaction@ The 'In' Crowd@ The 'In' Crowd@ Compared To What@ Slippin' and Slidin'@ Love Is Strange@ Heart of Stone@ Love Is The Drug@ Nel Blu Dipinto Di Blu (Volare)@ Takes Two to Tango@ How High The Moon@ I Ain't Superstitious@ Happy Birthday to You@ Working In The Coal Mine@ Unforgettable@ Stardust@ Stardust@ What A Difference A Day Makes@ I'll Take You There@ Love Me the Way I Love You@ Let's Start All Over Again@ Sweet Virginia@ Basin Street Blues/When It's Sleepy Time Down South@ Stella By Starlight@ Boogaloo Down Broadway@ Sweet Dreams@ Can't You Hear Me Knocking@ Toad@ Those Were The Days@ Hurt@ The Glory of Love@ Nights In White Satin@ Walk On The Wild Side@ Gimme Shelter@ Gimme Shelter@ EEE-O Eleven@ I'll Walk Alone@ Sunrise@ That's the Way I Like It@ Venus@ Flight of the Bumblebee"
16,tt0114388,Weep You No More Sad Fountains@ The Dreame
17,tt0113101,Sentimental Journey@ Vertigogo@ Carnival Of Souls@ Theme from 'The Tiki Wonder Hour'@ Breakfast At Denny's@ The Millionaire's Holiday@ Spy Vs. Spy@ Harlem Nocturne@ Cadillac@ Auld Lang Syne@ YMCA
18,tt0112281,"Blur the Technicolor@ Boll Weevil@ Secret Agent Man@ Lion Sleeps Tonight@ Spirits in the Material World@ Ife@ Quintet in E Major, Op.13(11) No. 5, G275, 3rd movement@ Eine kleine Nachtmusik, 1st movement@ Chitty Chitty Bang Bang@ It's Slinky"
